timestamp,syscall,args,result,latency
1765134154.6020546,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/io.py"", {st_mode=S_",0,1.4e-05
1765134154.6025717,newfstatat,"AT_FDCWD, ""/usr/lib/python3.10/io.py"", {st_mode=S_",0,1.7e-05
1765134154.6026013,openat,"AT_FDCWD, ""/usr/lib/python3.10/__pycache__/io.cpyt",3,1.9e-05
1765134154.6026113,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=3663, ...}, ",0,1e-05
1765134154.6026206,ioctl,"3, TCGETS, 0x7ffff5baa3b0",-1,1e-05
1765134154.6027176,lseek,"3, 0, SEEK_CUR",0,1e-05
1765134154.6027331,lseek,"3, 0, SEEK_CUR",0,9e-06
1765134154.6027415,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=3663, ...}, ",0,1e-05
1765134154.6033638,read,"3, ""o\r\r\n\0\0\0\0\341\275\tid\20\0\0\343\0\0\0\0",3663,1.7e-05
1765134154.603396,read,"3, """", 1",0,1e-05
1765134154.6034102,close,3,0,1.3e-05
